Home,Away,Home.Result,Away.Result,Home.Goals,Away.Goals
Bohemians,Galway United,NA,NA,NA,NA
Derry City,Shelbourne,NA,NA,NA,NA
Dundalk,Waterford,NA,NA,NA,NA
Sligo Rovers,Shamrock Rovers,NA,NA,NA,NA
St. Patricks Athletic,Drogheda United,NA,NA,NA,NA
Drogheda United,Shamrock Rovers,NA,NA,NA,NA
Dundalk,Sligo Rovers,NA,NA,NA,NA
Galway United,Waterford,NA,NA,NA,NA
Shelbourne,Bohemians,NA,NA,NA,NA
St. Patricks Athletic,Derry City,NA,NA,NA,NA
Bohemians,Dundalk,NA,NA,NA,NA
Derry City,Drogheda United,NA,NA,NA,NA
Shamrock Rovers,Galway United,NA,NA,NA,NA
Sligo Rovers,Shelbourne,NA,NA,NA,NA
Waterford,St. Patricks Athletic,NA,NA,NA,NA
Drogheda United,Bohemians,NA,NA,NA,NA
Galway United,Derry City,NA,NA,NA,NA
Shelbourne,Dundalk,NA,NA,NA,NA
St. Patricks Athletic,Sligo Rovers,NA,NA,NA,NA
Waterford,Shamrock Rovers,NA,NA,NA,NA
Bohemians,Waterford,NA,NA,NA,NA
Drogheda United,Galway United,NA,NA,NA,NA
Dundalk,St. Patricks Athletic,NA,NA,NA,NA
Shamrock Rovers,Shelbourne,NA,NA,NA,NA
Sligo Rovers,Derry City,NA,NA,NA,NA
Bohemians,Sligo Rovers,NA,NA,NA,NA
Dundalk,Derry City,NA,NA,NA,NA
Galway United,Shelbourne,NA,NA,NA,NA
St. Patricks Athletic,Shamrock Rovers,NA,NA,NA,NA
Waterford,Drogheda United,NA,NA,NA,NA
Drogheda United,St. Patricks Athletic,NA,NA,NA,NA
Dundalk,Galway United,NA,NA,NA,NA
Shamrock Rovers,Bohemians,NA,NA,NA,NA
Shelbourne,Derry City,NA,NA,NA,NA
Sligo Rovers,Waterford,NA,NA,NA,NA
Derry City,Shamrock Rovers,NA,NA,NA,NA
Shelbourne,Drogheda United,NA,NA,NA,NA
Sligo Rovers,Dundalk,NA,NA,NA,NA
St. Patricks Athletic,Bohemians,NA,NA,NA,NA
Waterford,Galway United,NA,NA,NA,NA
Bohemians,Derry City,NA,NA,NA,NA
Drogheda United,Sligo Rovers,NA,NA,NA,NA
Dundalk,Shelbourne,NA,NA,NA,NA
Galway United,St. Patricks Athletic,NA,NA,NA,NA
Shamrock Rovers,Waterford,NA,NA,NA,NA
Bohemians,Shelbourne,NA,NA,NA,NA
Derry City,Galway United,NA,NA,NA,NA
Shamrock Rovers,Drogheda United,NA,NA,NA,NA
Sligo Rovers,St. Patricks Athletic,NA,NA,NA,NA
Waterford,Dundalk,NA,NA,NA,NA
Drogheda United,Derry City,NA,NA,NA,NA
Dundalk,Bohemians,NA,NA,NA,NA
Galway United,Shamrock Rovers,NA,NA,NA,NA
Shelbourne,Sligo Rovers,NA,NA,NA,NA
St. Patricks Athletic,Waterford,NA,NA,NA,NA
Bohemians,Drogheda United,NA,NA,NA,NA
Dundalk,Shamrock Rovers,NA,NA,NA,NA
Sligo Rovers,Galway United,NA,NA,NA,NA
St. Patricks Athletic,Shelbourne,NA,NA,NA,NA
Waterford,Derry City,NA,NA,NA,NA
Derry City,St. Patricks Athletic,NA,NA,NA,NA
Drogheda United,Dundalk,NA,NA,NA,NA
Galway United,Bohemians,NA,NA,NA,NA
Shamrock Rovers,Sligo Rovers,NA,NA,NA,NA
Shelbourne,Waterford,NA,NA,NA,NA
Drogheda United,Waterford,NA,NA,NA,NA
Dundalk,Derry City,NA,NA,NA,NA
Shamrock Rovers,St. Patricks Athletic,NA,NA,NA,NA
Shelbourne,Galway United,NA,NA,NA,NA
Sligo Rovers,Bohemians,NA,NA,NA,NA
Derry City,Bohemians,NA,NA,NA,NA
Galway United,Dundalk,NA,NA,NA,NA
Shelbourne,Shamrock Rovers,NA,NA,NA,NA
St. Patricks Athletic,Drogheda United,NA,NA,NA,NA
Waterford,Sligo Rovers,NA,NA,NA,NA
Bohemians,Dundalk,NA,NA,NA,NA
Drogheda United,Shelbourne,NA,NA,NA,NA
Galway United,Derry City,NA,NA,NA,NA
St. Patricks Athletic,Sligo Rovers,NA,NA,NA,NA
Waterford,Shamrock Rovers,NA,NA,NA,NA
Bohemians,St. Patricks Athletic,NA,NA,NA,NA
Derry City,Drogheda United,NA,NA,NA,NA
Dundalk,Waterford,NA,NA,NA,NA
Shamrock Rovers,Galway United,NA,NA,NA,NA
Sligo Rovers,Shelbourne,NA,NA,NA,NA
Derry City,Waterford,NA,NA,NA,NA
Drogheda United,Bohemians,NA,NA,NA,NA
Shelbourne,Dundalk,NA,NA,NA,NA
Sligo Rovers,Shamrock Rovers,NA,NA,NA,NA
St. Patricks Athletic,Galway United,NA,NA,NA,NA
Bohemians,Shamrock Rovers,NA,NA,NA,NA
Derry City,Shelbourne,NA,NA,NA,NA
Dundalk,Drogheda United,NA,NA,NA,NA
Galway United,Sligo Rovers,NA,NA,NA,NA
Waterford,St. Patricks Athletic,NA,NA,NA,NA
Galway United,Waterford,NA,NA,NA,NA
Shamrock Rovers,Derry City,NA,NA,NA,NA
Shelbourne,Bohemians,NA,NA,NA,NA
Sligo Rovers,Drogheda United,NA,NA,NA,NA
St. Patricks Athletic,Dundalk,NA,NA,NA,NA
Bohemians,Galway United,NA,NA,NA,NA
Drogheda United,Shamrock Rovers,NA,NA,NA,NA
Dundalk,Sligo Rovers,NA,NA,NA,NA
St. Patricks Athletic,Derry City,NA,NA,NA,NA
Waterford,Shelbourne,NA,NA,NA,NA
Derry City,Sligo Rovers,NA,NA,NA,NA
Galway United,Drogheda United,NA,NA,NA,NA
Shamrock Rovers,Dundalk,NA,NA,NA,NA
Shelbourne,St. Patricks Athletic,NA,NA,NA,NA
Waterford,Bohemians,NA,NA,NA,NA
Bohemians,Derry City,NA,NA,NA,NA
Drogheda United,St. Patricks Athletic,NA,NA,NA,NA
Dundalk,Galway United,NA,NA,NA,NA
Shamrock Rovers,Shelbourne,NA,NA,NA,NA
Sligo Rovers,Waterford,NA,NA,NA,NA
Bohemians,Sligo Rovers,NA,NA,NA,NA
