Home,Away,HomeGoals,AwayGoals
Aberdeen,Falkirk,NA,NA
Celtic,Motherwell,NA,NA
Dundee FC,Dundee United,NA,NA
Hibernian,Livingston,NA,NA
Kilmarnock,Hearts,NA,NA
St. Mirren,Rangers,NA,NA
Dundee United,Celtic,NA,NA
Falkirk,St. Mirren,NA,NA
Hearts,Dundee FC,NA,NA
Kilmarnock,Livingston,NA,NA
Motherwell,Hibernian,NA,NA
Rangers,Aberdeen,NA,NA
Dundee FC,Celtic,NA,NA
Hibernian,Kilmarnock,NA,NA
Livingston,Hearts,NA,NA
Motherwell,Falkirk,NA,NA
Rangers,Dundee United,NA,NA
St. Mirren,Aberdeen,NA,NA
Aberdeen,Hibernian,NA,NA
Celtic,St. Mirren,NA,NA
Dundee United,Livingston,NA,NA
Falkirk,Rangers,NA,NA
Hearts,Motherwell,NA,NA
Kilmarnock,Dundee FC,NA,NA
Aberdeen,Kilmarnock,NA,NA
Aberdeen,St. Mirren,NA,NA
Aberdeen,Livingston,NA,NA
Celtic,Rangers,NA,NA
Celtic,Hearts,NA,NA
Celtic,Falkirk,NA,NA
Dundee United,Aberdeen,NA,NA
Dundee United,St. Mirren,NA,NA
Dundee FC,Aberdeen,NA,NA
Dundee FC,Livingston,NA,NA
Dundee FC,Kilmarnock,NA,NA
Hearts,Rangers,NA,NA
Hearts,Falkirk,NA,NA
Hibernian,Celtic,NA,NA
Hibernian,Hearts,NA,NA
Hibernian,Motherwell,NA,NA
Kilmarnock,Dundee FC,NA,NA
Kilmarnock,Dundee United,NA,NA
Motherwell,Hearts,NA,NA
Motherwell,Celtic,NA,NA
Rangers,Hibernian,NA,NA
Rangers,Motherwell,NA,NA
St. Mirren,Dundee United,NA,NA
St. Mirren,Kilmarnock,NA,NA
St. Mirren,Livingston,NA,NA
Falkirk,Hibernian,NA,NA
Falkirk,Motherwell,NA,NA
Falkirk,Rangers,NA,NA
Livingston,Dundee FC,NA,NA
Livingston,Dundee United,NA,NA
