Club,AttackRating,DefenceRating,ELO
Aberdeen,0.919871492,0.888076642,1721.27502
Celtic,1.591556637,1.526844749,2000
Dundee FC,0.825744176,0.868292172,1707.329016
Dundee United,0.83389044,0.867810569,1716.440787
Hearts,1.078581752,1.089593402,1823.334482
Hibernian,1.060061274,1.048020605,1803.764674
Kilmarnock,0.879610509,0.82938527,1698.151487
Motherwell,0.989848776,1.009352637,1777.747713
Rangers,1.460169503,1.43358108,1970.465481
St. Mirren,0.873923837,0.895643392,1710.648042
Falkirk,0.929136638,0.959576821,1741.830376
Livingston,0.557604965,0.785403286,1645
